radio,mcc,net,area,cell,unit,lon,lat,range_,samples,changeable,created,updated,averagesig,county,subcounty,ward
GSM,639,2,2015,11246,0,39.598285,-4.008949,1000,11,1,1357714342,1477446554,0,Mombasa,Jomvu  Sub County,Miritini Ward
GSM,639,2,2009,11222,0,39.649887,-4.056931,1000,24,1,1357842805,1486231650,0,Mombasa,Mvita  Sub County,Ganjoni Ward-shimanzi Ward
GSM,639,2,2066,8650,0,39.057672,-3.735057,3283,7,1,1357911627,1464735873,0,Kwale,Kinango Sub County,Mackinon Road Ward
GSM,639,2,2016,8701,0,38.565917,-3.400636,1467,9,1,1357917272,1545001336,0,TAITA TAVETA,Voi Sub County,Kaloleni  Ward
GSM,639,2,12103,3311,0,38.464279,-2.996292,1000,3,1,1357921388,1363035966,0,TAITA TAVETA,Wundanyi Sub County,Wumingu/kishushe Ward
GSM,639,2,2016,8660,0,38.445118,-2.977197,6742,21,1,1357921450,1487733935,0,TAITA TAVETA,Wundanyi Sub County,Wumingu/kishushe Ward
GSM,639,2,2019,11646,0,38.159245,-2.682037,3032,14,1,1357926390,1470733217,0,MAKUENI,Kibwezi East  Sub County,Mtito Andei Ward
GSM,639,2,2019,8420,0,38.138351,-2.662697,6099,12,1,1357926780,1470733217,0,MAKUENI,Kibwezi East  Sub County,Ivingoni/Nzambani Ward
GSM,639,2,2019,12200,0,38.091463,-2.642114,1008,7,1,1357927520,1479710099,0,MAKUENI,Kibwezi East  Sub County,Ivingoni/Nzambani Ward
GSM,639,2,2019,8591,0,37.962227,-2.423172,1461,8,1,1357930010,1483774328,0,MAKUENI,Kibwezi East  Sub County,Thange Ward
GSM,639,2,107,18181,0,37.176405,-1.704767,59310,14,1,1357951092,1376550924,0,Machakos,Machakos Sub County,Kalama Ward
GSM,639,2,108,64205,0,37.142715454102,-1.5456390380859,1000,3,1,1357958948,1364330080,0,Machakos,Athi River Sub County,Kinanie Ward
GSM,639,2,4001,14460,0,37.060776,-1.493454,1000,3,1,1357959900,1362137077,0,Machakos,Athi River Sub County,Kinanie Ward
GSM,639,2,4001,14231,0,36.99543,-1.446648,1547,12,1,1357960481,1482643158,0,Machakos,Athi River Sub County,Athi River Ward
GSM,639,2,4000,14225,0,36.927658,-1.38414,1000,10,1,1357963419,1478054768,0,Machakos,Athi River Sub County,Syokimau-mulolongo Ward
GSM,639,2,4000,14025,0,36.916946,-1.369125,1522,15,1,1357963792,1483434155,0,Machakos,Athi River Sub County,Syokimau-mulolongo Ward
GSM,639,2,4065,4534,0,36.898956,-1.341705,2162,4,1,1357964153,1362706017,0,Nairobi,Embakasi South Sub County,Pipeline Ward
GSM,639,2,20,7910,0,36.843338012695,-1.3094329833984,1000,1,1,1357974423,1357954609,0,Nairobi,Starehe  Sub County,Landimawe Ward
GSM,639,2,4065,3742,0,36.905136108398,-1.3492584228516,1000,1,1,1358180112,1358160294,0,Nairobi,Langata  Sub County,South C Ward
GSM,639,2,2019,11642,0,38.154602,-2.664185,3369,6,1,1358225328,1470733217,0,MAKUENI,Kibwezi East  Sub County,Mtito Andei Ward
GSM,639,2,2066,8802,0,39.068756,-3.741781,1018,22,1,1358242598,1464735873,0,Kwale,Kinango Sub County,Mackinon Road Ward
GSM,639,2,2066,8812,0,39.384715,-3.865208,31737,22,1,1358244007,1464735873,0,Kwale,Kinango Sub County,Mwavumbo Ward
GSM,639,2,2066,8816,0,39.254287,-3.791519,3111,5,1,1358244530,1464735873,0,Kwale,Kinango Sub County,Chengoni/samburu Ward
GSM,639,2,2066,10155,0,39.58623,-3.98833,26548,69,1,1358246565,1464735873,0,Mombasa,Jomvu  Sub County,Jomvu Kuu Ward
GSM,639,2,2066,8431,0,39.500914,-3.894911,2365,16,1,1358247522,1491269748,0,Kilifi,Kaloleni Sub County,Mariakani Ward
GSM,639,2,4065,911,0,36.891403198242,-1.3204193115234,1000,4,1,1358250964,1359534134,0,Nairobi,Embakasi South Sub County,Kware Ward
GSM,639,2,2026,9086,0,39.629745,-4.01413,1000,6,1,1358345167,1487985902,0,Mombasa,Changamwe Sub County,Changamwe Ward
GSM,639,2,2015,9231,0,39.621391,-4.009323,1000,12,1,1358413587,1364877413,0,Mombasa,Jomvu  Sub County,Mikindani Ward
GSM,639,2,2015,9235,0,39.621928,-4.009746,1734,13,1,1358414665,1364877483,0,Mombasa,Changamwe Sub County,Changamwe Ward
GSM,639,2,2015,9236,0,39.617385864258,-4.0079498291016,1000,1,1,1358417831,1358398021,0,Mombasa,Jomvu  Sub County,Mikindani Ward
GSM,639,2,2066,10151,0,39.437907,-3.835443,6876,13,1,1358424125,1464735873,0,Kilifi,Kaloleni Sub County,Mariakani Ward
